,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Short_MA,Long_MA,MACD,Signal_Line,Volume_MA,Volume_Ratio,Breakout
20,2021-10-28 00:00:00-04:00,356.10333251953125,360.3333435058594,351.3999938964844,359.0133361816406,81639600,0.0,0.0,314.52546486683605,292.8380206310354,21.687444235800626,13.249815983314491,96847363.14397395,0.8429718409435063,True
21,2021-10-29 00:00:00-04:00,360.6199951171875,371.7366638183594,357.7366638183594,371.3333435058594,89755200,0.0,0.0,323.2651385036089,298.6524889921335,24.61264951147541,15.522382688946676,95756261.1218241,0.937329830430729,True
22,2021-11-01 00:00:00-04:00,381.6666564941406,403.25,372.88665771484375,402.86334228515625,168146100,0.0,0.0,335.5110160084623,306.37181145828333,29.139204550178988,18.24574706119314,106893159.41077423,1.5730295645378016,True
23,2021-11-02 00:00:00-04:00,386.4533386230469,402.86334228515625,382.0,390.6666564941406,128213400,0.0,0.0,343.99649916010515,312.615874053532,31.38062510657312,20.872722670269138,110173196.42450127,1.1637440335849853,True
24,2021-11-03 00:00:00-04:00,392.4433288574219,405.1300048828125,384.2066650390625,404.6199951171875,103885500,0.0,0.0,353.32319084581013,319.4309941323213,33.89219671348883,23.476617478913077,109205858.51303953,0.9512813819195949,True
27,2021-11-08 00:00:00-05:00,383.2633361816406,399.0,377.6666564941406,387.6466674804688,100337100,0.0,0.0,371.87819609155054,336.2648548551991,35.61334123635146,29.635062708172406,98435575.91299754,1.0193174476744375,True
29,2021-11-10 00:00:00-05:00,336.8033447265625,359.3666687011719,329.10333251953125,355.9833374023437,128408100,0.0,0.0,365.4348813160334,338.06168357878323,27.373197737250166,29.325142492343858,113315373.28682072,1.133192225162397,True
33,2021-11-16 00:00:00-05:00,334.4366760253906,352.3999938964844,334.0599975585937,351.57666015625,79627200,0.0,0.0,356.37718821955366,340.4186052959836,15.958582923570077,23.24893451476858,98632313.46564694,0.8073135182795209,True
34,2021-11-17 00:00:00-05:00,354.5033264160156,373.21331787109375,351.8333435058594,363.0033264160156,94336200,0.0,0.0,357.3965940959324,342.0915476011711,15.305046494761314,21.66015691076713,97971372.93247049,0.9628955599614172,True
36,2021-11-19 00:00:00-05:00,366.2900085449219,379.5733337402344,364.23333740234375,379.0199890136719,64926900,0.0,0.0,361.77294326612434,346.42976163268054,15.343181633443805,19.30146848147877,88295638.6084552,0.7353353010777431,True
39,2021-11-24 00:00:00-05:00,360.1300048828125,377.5899963378906,354.0,372.0,67680600,0.0,0.0,367.002347677988,352.4073401858365,14.595007492151467,17.30393758004924,88959258.71090299,0.7608044511695662,True
41,2021-11-29 00:00:00-05:00,366.9966735839844,380.8900146484375,366.7300109863281,378.9966735839844,58393500,0.0,0.0,368.01939588453115,354.9415757504868,13.077820134044373,15.771101564135796,77238110.67467019,0.756019269372805,True
42,2021-11-30 00:00:00-05:00,381.4566650390625,389.3333435058594,372.6666564941406,381.586669921875,81276000,0.0,0.0,370.1066688133533,356.9152864298489,13.19138238350439,15.255157728009515,77859324.41702862,1.0438826769761198,True
127,2022-04-01 00:00:00-04:00,360.3833312988281,364.9166564941406,355.5466613769531,361.5299987792969,54263100,0.0,0.0,339.6744953431186,320.0427794311694,19.631715911949243,12.369014751888537,71446784.48099957,0.7594897432288311,True
128,2022-04-04 00:00:00-04:00,363.1266784667969,383.3033447265625,357.510009765625,381.8166809082031,82035900,0.0,0.0,346.1579085069778,324.61862398502376,21.539284521954016,14.203068705901634,73075879.1762304,1.122612562787805,True
131,2022-04-07 00:00:00-04:00,350.7966613769531,358.86334228515625,340.5133361816406,352.4200134277344,79447200,0.0,0.0,349.37561827569124,330.80719614683653,18.568422128854706,16.877150828266828,76945364.30749324,1.0325144433978997,True
135,2022-04-13 00:00:00-04:00,327.02667236328125,342.0799865722656,324.3666687011719,340.7900085449219,55121100,0.0,0.0,342.046022539736,331.7206286634616,10.325393876274404,14.214043747794873,68178350.41581208,0.80848391995146,True
211,2022-08-03 00:00:00-04:00,305.0,309.54998779296875,301.1499938964844,307.39666748046875,80091000,0.0,0.0,280.2550742713874,264.381784145338,15.873290126049426,10.238539926290732,91106324.62884799,0.8790937437798902,True
218,2022-08-12 00:00:00-04:00,289.4166564941406,300.1600036621094,285.0333251953125,300.0299987792969,79657200,0.0,0.0,288.8999313223311,276.2490858191843,12.650845503146797,13.023308765344293,87614566.66246426,0.9091775835276333,True
219,2022-08-15 00:00:00-04:00,301.78668212890625,313.1333312988281,301.2300109863281,309.32000732421875,89359200,0.0,0.0,292.04148147646765,278.6987837084461,13.342697768021537,13.087186565879744,87882971.79131591,1.016797659189194,True
221,2022-08-17 00:00:00-04:00,303.39666748046875,309.6566772460937,300.0333251953125,303.9966735839844,68766000,0.0,0.0,295.771159167323,282.483849643408,13.287309523914985,13.195307285090749,84974889.86242145,0.8092508282309698,True
