,Date,Status,Postive,Negative,Number of tweets
0,2022-07-18 00:00:00-04:00,Tweets analysed,0.22972972972972974,0.7702702702702703,148
1,2022-07-19 00:00:00-04:00,Tweets analysed,0.19753086419753085,0.8024691358024691,81
2,2022-07-20 00:00:00-04:00,Tweets analysed,0.17777777777777778,0.8222222222222222,45
3,2022-07-21 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
4,2022-07-22 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
5,2022-07-25 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
6,2022-07-26 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
7,2022-07-27 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
8,2022-07-28 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
9,2022-07-29 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
10,2022-08-01 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
11,2022-08-02 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
12,2022-08-03 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
13,2022-08-04 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
14,2022-08-05 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
15,2022-08-08 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
16,2022-08-09 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
17,2022-08-10 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
18,2022-08-11 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
19,2022-08-12 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
20,2022-08-15 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
21,2022-08-16 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
22,2022-08-17 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
23,2022-08-18 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
24,2022-08-19 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
25,2022-08-22 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
26,2022-08-23 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
27,2022-08-24 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
28,2022-08-25 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
29,2022-08-26 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
30,2022-08-29 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
31,2022-08-30 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
32,2022-08-31 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
33,2022-09-01 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
34,2022-09-02 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
35,2022-09-06 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
36,2022-09-07 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
37,2022-09-08 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
38,2022-09-09 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
39,2022-09-12 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
40,2022-09-13 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
41,2022-09-14 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
42,2022-09-15 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
43,2022-09-16 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
44,2022-09-19 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
45,2022-09-20 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
46,2022-09-21 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
47,2022-09-22 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
48,2022-09-23 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
49,2022-09-26 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
50,2022-09-27 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
51,2022-09-28 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
52,2022-09-29 00:00:00-04:00,No sentiment to analyze in period,0.0,0.0,0
