,address1,city,state,zip,country,phone,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.",140473,"{'maxAge': 1, 'name': 'Mr. Elon R. Musk', 'age': 51, 'title': 'Technoking of Tesla, CEO & Director', 'yearBorn': 1972, 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 27819718656}",8,9,8,9,9,1706745600,1672444800,86400,2,197.41,195.31,191.71,197.57,197.41,195.31,191.71,197.57,2.427,44.644184,45.816227,78841917,78841917,111153272,95974240,95974240,191.09,191.13,900,1200,611384164352,152.37,299.29,6.3177147,217.1118,233.9837,USD,592838197248,0.15496999,2767678414,3184790016,90710966,86666279,1703808000,1706659200,0.028499998,0.13,0.45741,0.81,0.0327,3184790016,19.665,9.762013,1703980800,1735603200,1703980800,1.15,14999000064,4.3,4.19,7.08,3:1,1661385600,6.126,43.726,-0.075422645,0.27787375,NMS,EQUITY,TSLA,TSLA,"Tesla, Inc.","Tesla, Inc.",1277818200,America/New_York,EST,ec367bc4-f92c-397c-ac81-bf7b43cffaf7,finmb_27444752,-18000000,191.97,345.0,24.33,207.75,211.5,2.8,hold,38,29094000640,9.135,13557999616,9573000192,1.141,1.726,96772997120,15.05,30.489,0.058819998,0.27348,2230374912,13255999488,1.115,0.035,0.18249,0.1401,0.08201,USD,2.2509
1,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.",140473,"{'maxAge': 1, 'name': 'Mr. Andrew D. Baglino', 'age': 42, 'title': 'Senior Vice President of Powertrain & Energy Engineering', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 303000, 'exercisedValue': 33866368, 'unexercisedValue': 57355632}",8,9,8,9,9,1706745600,1672444800,86400,2,197.41,195.31,191.71,197.57,197.41,195.31,191.71,197.57,2.427,44.644184,45.816227,78841917,78841917,111153272,95974240,95974240,191.09,191.13,900,1200,611384164352,152.37,299.29,6.3177147,217.1118,233.9837,USD,592838197248,0.15496999,2767678414,3184790016,90710966,86666279,1703808000,1706659200,0.028499998,0.13,0.45741,0.81,0.0327,3184790016,19.665,9.762013,1703980800,1735603200,1703980800,1.15,14999000064,4.3,4.19,7.08,3:1,1661385600,6.126,43.726,-0.075422645,0.27787375,NMS,EQUITY,TSLA,TSLA,"Tesla, Inc.","Tesla, Inc.",1277818200,America/New_York,EST,ec367bc4-f92c-397c-ac81-bf7b43cffaf7,finmb_27444752,-18000000,191.97,345.0,24.33,207.75,211.5,2.8,hold,38,29094000640,9.135,13557999616,9573000192,1.141,1.726,96772997120,15.05,30.489,0.058819998,0.27348,2230374912,13255999488,1.115,0.035,0.18249,0.1401,0.08201,USD,2.2509
2,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.",140473,"{'maxAge': 1, 'name': 'Mr. Vaibhav  Taneja', 'age': 45, 'title': 'CFO, Corporate Controller & Chief Accounting Officer', 'yearBorn': 1978, 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,8,9,9,1706745600,1672444800,86400,2,197.41,195.31,191.71,197.57,197.41,195.31,191.71,197.57,2.427,44.644184,45.816227,78841917,78841917,111153272,95974240,95974240,191.09,191.13,900,1200,611384164352,152.37,299.29,6.3177147,217.1118,233.9837,USD,592838197248,0.15496999,2767678414,3184790016,90710966,86666279,1703808000,1706659200,0.028499998,0.13,0.45741,0.81,0.0327,3184790016,19.665,9.762013,1703980800,1735603200,1703980800,1.15,14999000064,4.3,4.19,7.08,3:1,1661385600,6.126,43.726,-0.075422645,0.27787375,NMS,EQUITY,TSLA,TSLA,"Tesla, Inc.","Tesla, Inc.",1277818200,America/New_York,EST,ec367bc4-f92c-397c-ac81-bf7b43cffaf7,finmb_27444752,-18000000,191.97,345.0,24.33,207.75,211.5,2.8,hold,38,29094000640,9.135,13557999616,9573000192,1.141,1.726,96772997120,15.05,30.489,0.058819998,0.27348,2230374912,13255999488,1.115,0.035,0.18249,0.1401,0.08201,USD,2.2509
3,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.",140473,"{'maxAge': 1, 'name': 'Mr. Martin  Viecha', 'title': 'Senior Director for Investor Relations', 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,8,9,9,1706745600,1672444800,86400,2,197.41,195.31,191.71,197.57,197.41,195.31,191.71,197.57,2.427,44.644184,45.816227,78841917,78841917,111153272,95974240,95974240,191.09,191.13,900,1200,611384164352,152.37,299.29,6.3177147,217.1118,233.9837,USD,592838197248,0.15496999,2767678414,3184790016,90710966,86666279,1703808000,1706659200,0.028499998,0.13,0.45741,0.81,0.0327,3184790016,19.665,9.762013,1703980800,1735603200,1703980800,1.15,14999000064,4.3,4.19,7.08,3:1,1661385600,6.126,43.726,-0.075422645,0.27787375,NMS,EQUITY,TSLA,TSLA,"Tesla, Inc.","Tesla, Inc.",1277818200,America/New_York,EST,ec367bc4-f92c-397c-ac81-bf7b43cffaf7,finmb_27444752,-18000000,191.97,345.0,24.33,207.75,211.5,2.8,hold,38,29094000640,9.135,13557999616,9573000192,1.141,1.726,96772997120,15.05,30.489,0.058819998,0.27348,2230374912,13255999488,1.115,0.035,0.18249,0.1401,0.08201,USD,2.2509
4,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.",140473,"{'maxAge': 1, 'name': 'Brian  Scelfo', 'title': 'Senior Director of Corporate Development', 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,8,9,9,1706745600,1672444800,86400,2,197.41,195.31,191.71,197.57,197.41,195.31,191.71,197.57,2.427,44.644184,45.816227,78841917,78841917,111153272,95974240,95974240,191.09,191.13,900,1200,611384164352,152.37,299.29,6.3177147,217.1118,233.9837,USD,592838197248,0.15496999,2767678414,3184790016,90710966,86666279,1703808000,1706659200,0.028499998,0.13,0.45741,0.81,0.0327,3184790016,19.665,9.762013,1703980800,1735603200,1703980800,1.15,14999000064,4.3,4.19,7.08,3:1,1661385600,6.126,43.726,-0.075422645,0.27787375,NMS,EQUITY,TSLA,TSLA,"Tesla, Inc.","Tesla, Inc.",1277818200,America/New_York,EST,ec367bc4-f92c-397c-ac81-bf7b43cffaf7,finmb_27444752,-18000000,191.97,345.0,24.33,207.75,211.5,2.8,hold,38,29094000640,9.135,13557999616,9573000192,1.141,1.726,96772997120,15.05,30.489,0.058819998,0.27348,2230374912,13255999488,1.115,0.035,0.18249,0.1401,0.08201,USD,2.2509
5,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.",140473,"{'maxAge': 1, 'name': 'Mr. Jeffrey Brian Straubel', 'age': 47, 'title': 'Independent Director', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 250560, 'exercisedValue': 9413986, 'unexercisedValue': 60867856}",8,9,8,9,9,1706745600,1672444800,86400,2,197.41,195.31,191.71,197.57,197.41,195.31,191.71,197.57,2.427,44.644184,45.816227,78841917,78841917,111153272,95974240,95974240,191.09,191.13,900,1200,611384164352,152.37,299.29,6.3177147,217.1118,233.9837,USD,592838197248,0.15496999,2767678414,3184790016,90710966,86666279,1703808000,1706659200,0.028499998,0.13,0.45741,0.81,0.0327,3184790016,19.665,9.762013,1703980800,1735603200,1703980800,1.15,14999000064,4.3,4.19,7.08,3:1,1661385600,6.126,43.726,-0.075422645,0.27787375,NMS,EQUITY,TSLA,TSLA,"Tesla, Inc.","Tesla, Inc.",1277818200,America/New_York,EST,ec367bc4-f92c-397c-ac81-bf7b43cffaf7,finmb_27444752,-18000000,191.97,345.0,24.33,207.75,211.5,2.8,hold,38,29094000640,9.135,13557999616,9573000192,1.141,1.726,96772997120,15.05,30.489,0.058819998,0.27348,2230374912,13255999488,1.115,0.035,0.18249,0.1401,0.08201,USD,2.2509
6,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.",140473,"{'maxAge': 1, 'name': 'Mr. Franz  von Holzhausen', 'title': 'Chief Designer', 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,8,9,9,1706745600,1672444800,86400,2,197.41,195.31,191.71,197.57,197.41,195.31,191.71,197.57,2.427,44.644184,45.816227,78841917,78841917,111153272,95974240,95974240,191.09,191.13,900,1200,611384164352,152.37,299.29,6.3177147,217.1118,233.9837,USD,592838197248,0.15496999,2767678414,3184790016,90710966,86666279,1703808000,1706659200,0.028499998,0.13,0.45741,0.81,0.0327,3184790016,19.665,9.762013,1703980800,1735603200,1703980800,1.15,14999000064,4.3,4.19,7.08,3:1,1661385600,6.126,43.726,-0.075422645,0.27787375,NMS,EQUITY,TSLA,TSLA,"Tesla, Inc.","Tesla, Inc.",1277818200,America/New_York,EST,ec367bc4-f92c-397c-ac81-bf7b43cffaf7,finmb_27444752,-18000000,191.97,345.0,24.33,207.75,211.5,2.8,hold,38,29094000640,9.135,13557999616,9573000192,1.141,1.726,96772997120,15.05,30.489,0.058819998,0.27348,2230374912,13255999488,1.115,0.035,0.18249,0.1401,0.08201,USD,2.2509
7,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.",140473,"{'maxAge': 1, 'name': 'Mr. Xiaotong  Zhu', 'age': 43, 'title': 'Senior Vice President of Automotive', 'yearBorn': 1980, 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,8,9,9,1706745600,1672444800,86400,2,197.41,195.31,191.71,197.57,197.41,195.31,191.71,197.57,2.427,44.644184,45.816227,78841917,78841917,111153272,95974240,95974240,191.09,191.13,900,1200,611384164352,152.37,299.29,6.3177147,217.1118,233.9837,USD,592838197248,0.15496999,2767678414,3184790016,90710966,86666279,1703808000,1706659200,0.028499998,0.13,0.45741,0.81,0.0327,3184790016,19.665,9.762013,1703980800,1735603200,1703980800,1.15,14999000064,4.3,4.19,7.08,3:1,1661385600,6.126,43.726,-0.075422645,0.27787375,NMS,EQUITY,TSLA,TSLA,"Tesla, Inc.","Tesla, Inc.",1277818200,America/New_York,EST,ec367bc4-f92c-397c-ac81-bf7b43cffaf7,finmb_27444752,-18000000,191.97,345.0,24.33,207.75,211.5,2.8,hold,38,29094000640,9.135,13557999616,9573000192,1.141,1.726,96772997120,15.05,30.489,0.058819998,0.27348,2230374912,13255999488,1.115,0.035,0.18249,0.1401,0.08201,USD,2.2509
8,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.",140473,"{'maxAge': 1, 'name': 'Mr. John  Walker', 'age': 60, 'title': 'Vice President of Sales - North America', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 121550, 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,8,9,9,1706745600,1672444800,86400,2,197.41,195.31,191.71,197.57,197.41,195.31,191.71,197.57,2.427,44.644184,45.816227,78841917,78841917,111153272,95974240,95974240,191.09,191.13,900,1200,611384164352,152.37,299.29,6.3177147,217.1118,233.9837,USD,592838197248,0.15496999,2767678414,3184790016,90710966,86666279,1703808000,1706659200,0.028499998,0.13,0.45741,0.81,0.0327,3184790016,19.665,9.762013,1703980800,1735603200,1703980800,1.15,14999000064,4.3,4.19,7.08,3:1,1661385600,6.126,43.726,-0.075422645,0.27787375,NMS,EQUITY,TSLA,TSLA,"Tesla, Inc.","Tesla, Inc.",1277818200,America/New_York,EST,ec367bc4-f92c-397c-ac81-bf7b43cffaf7,finmb_27444752,-18000000,191.97,345.0,24.33,207.75,211.5,2.8,hold,38,29094000640,9.135,13557999616,9573000192,1.141,1.726,96772997120,15.05,30.489,0.058819998,0.27348,2230374912,13255999488,1.115,0.035,0.18249,0.1401,0.08201,USD,2.2509
9,1 Tesla Road,Austin,TX,78725,United States,512 516 8177,https://www.tesla.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, body shop and parts, supercharging, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.",140473,"{'maxAge': 1, 'name': 'Mr. Peter  Bannon', 'title': 'Chip Architect', 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}",8,9,8,9,9,1706745600,1672444800,86400,2,197.41,195.31,191.71,197.57,197.41,195.31,191.71,197.57,2.427,44.644184,45.816227,78841917,78841917,111153272,95974240,95974240,191.09,191.13,900,1200,611384164352,152.37,299.29,6.3177147,217.1118,233.9837,USD,592838197248,0.15496999,2767678414,3184790016,90710966,86666279,1703808000,1706659200,0.028499998,0.13,0.45741,0.81,0.0327,3184790016,19.665,9.762013,1703980800,1735603200,1703980800,1.15,14999000064,4.3,4.19,7.08,3:1,1661385600,6.126,43.726,-0.075422645,0.27787375,NMS,EQUITY,TSLA,TSLA,"Tesla, Inc.","Tesla, Inc.",1277818200,America/New_York,EST,ec367bc4-f92c-397c-ac81-bf7b43cffaf7,finmb_27444752,-18000000,191.97,345.0,24.33,207.75,211.5,2.8,hold,38,29094000640,9.135,13557999616,9573000192,1.141,1.726,96772997120,15.05,30.489,0.058819998,0.27348,2230374912,13255999488,1.115,0.035,0.18249,0.1401,0.08201,USD,2.2509
